"state","candidate_name","pollster_rating_name","predicted_pct"
"Florida","Kamala Harris","Marist College",49.4870052043739
"Florida","Donald Trump","Marist College",46.9277746588605
"Texas","Kamala Harris","Marist College",49.488871028205
"Texas","Donald Trump","Marist College",46.7728862294051
"Texas","Kamala Harris","Marist College",49.4169620599587
"Texas","Donald Trump","Marist College",46.8239327561123
"Ohio","Kamala Harris","Marist College",49.2694209693514
"Ohio","Donald Trump","Marist College",46.9117542368707
"Ohio","Kamala Harris","Marist College",49.3076720250336
"Ohio","Donald Trump","Marist College",46.7931498508055
"Ohio","Kamala Harris","ABC News/The Washington Post",48.3257117780918
"Ohio","Donald Trump","ABC News/The Washington Post",45.654222382558
"Ohio","Kamala Harris","ABC News/The Washington Post",48.1076443853749
"Ohio","Donald Trump","ABC News/The Washington Post",45.6196190962952
"Pennsylvania","Kamala Harris","Hunt Research",47.2763114625335
"Pennsylvania","Donald Trump","Hunt Research",44.8727323935894
"Pennsylvania","Kamala Harris","Hunt Research",47.3986485806121
"Pennsylvania","Donald Trump","Hunt Research",44.7193287492402
"Pennsylvania","Chase Oliver","Hunt Research",1.62960775386332
"Pennsylvania","Jill Stein","Hunt Research",1.77947009565419
